ballotID,precinctPortion,ballot_type,countingGroup,precinct,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10
01662_00000_014453,117.001,Ballot 16 - Type 16,Early,117,MIKE A TELLEZ,BEV COURTNEY,JESUSITA DOLORES LUCERO,WILLIAM BILL MATTIACE,ISABELLA SOLIS,EUGENIA (GINA) MONTOYA ORTEGA,JORGE SANCHEZ,ALEXANDER PAIGE FRESQUEZ,GREGORY Z SMITH,KEN MIYAGISHIMA
01662_00000_683706,059,Ballot 16 - Type 16,Early,059,MIKE A TELLEZ,WILLIAM BILL MATTIACE,BEV COURTNEY,ISABELLA SOLIS,JESUSITA DOLORES LUCERO,skipped,skipped,skipped,skipped,skipped
01662_00000_757762,059,Ballot 16 - Type 16,Early,059,WILLIAM BILL MATTIACE,ISABELLA SOLIS,MIKE A TELLEZ,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_040804,109.002,Ballot 17 - Type 17,Early,109,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_986412,059,Ballot 16 - Type 16,Early,059,KEN MIYAGISHIMA,WILLIAM BILL MATTIACE,JESUSITA DOLORES LUCERO,skipped,skipped,skipped,skipped,skipped,skipped,overvote
01662_00000_233416,112,Ballot 16 - Type 16,Early,112,WILLIAM BILL MATTIACE,MIKE A TELLEZ,EUGENIA (GINA) MONTOYA ORTEGA,BEV COURTNEY,JESUSITA DOLORES LUCERO,ISABELLA SOLIS,JORGE SANCHEZ,ALEXANDER PAIGE FRESQUEZ,GREGORY Z SMITH,KEN MIYAGISHIMA
01662_00000_720737,059,Ballot 16 - Type 16,Early,059,KEN MIYAGISHIMA,GREGORY Z SMITH,ISABELLA SOLIS,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_113912,112,Ballot 16 - Type 16,Early,112,WILLIAM BILL MATTIACE,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_077730,116,Ballot 16 - Type 16,Early,116,KEN MIYAGISHIMA,EUGENIA (GINA) MONTOYA ORTEGA,ISABELLA SOLIS,JORGE SANCHEZ,JESUSITA DOLORES LUCERO,skipped,skipped,skipped,skipped,skipped
01662_00000_099843,090.002,Ballot 19 - Type 19,Early,090,KEN MIYAGISHIMA,WILLIAM BILL MATTIACE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_628641,059,Ballot 16 - Type 16,Early,059,KEN MIYAGISHIMA,GREGORY Z SMITH,ISABELLA SOLIS,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_827692,117.001,Ballot 16 - Type 16,Early,117,KEN MIYAGISHIMA,WILLIAM BILL MATTIACE,ISABELLA SOLIS,BEV COURTNEY,JESUSITA DOLORES LUCERO,EUGENIA (GINA) MONTOYA ORTEGA,ALEXANDER PAIGE FRESQUEZ,MIKE A TELLEZ,GREGORY Z SMITH,JORGE SANCHEZ
01662_00000_156274,112,Ballot 16 - Type 16,Early,112,ISABELLA SOLIS,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_356692,067,Ballot 16 - Type 16,Early,067,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_664499,106,Ballot 16 - Type 16,Early,106,KEN MIYAGISHIMA,KEN MIYAGISHIMA,KEN MIYAGISHIMA,KEN MIYAGISHIMA,KEN MIYAGISHIMA,KEN MIYAGISHIMA,KEN MIYAGISHIMA,KEN MIYAGISHIMA,KEN MIYAGISHIMA,KEN MIYAGISHIMA
01662_00000_364876,109.002,Ballot 17 - Type 17,Early,109,KEN MIYAGISHIMA,EUGENIA (GINA) MONTOYA ORTEGA,WILLIAM BILL MATTIACE,JESUSITA DOLORES LUCERO,GREGORY Z SMITH,BEV COURTNEY,ALEXANDER PAIGE FRESQUEZ,JORGE SANCHEZ,ISABELLA SOLIS,MIKE A TELLEZ
01662_00000_554787,117.001,Ballot 16 - Type 16,Early,117,WILLIAM BILL MATTIACE,BEV COURTNEY,ISABELLA SOLIS,MIKE A TELLEZ,KEN MIYAGISHIMA,JORGE SANCHEZ,skipped,skipped,skipped,skipped
01662_00000_780103,112,Ballot 16 - Type 16,Early,112,KEN MIYAGISHIMA,EUGENIA (GINA) MONTOYA ORTEGA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_422991,059,Ballot 16 - Type 16,Early,059,EUGENIA (GINA) MONTOYA ORTEGA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_862085,102,Ballot 16 - Type 16,Early,102,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,WILLIAM BILL MATTIACE
01662_00000_944991,066.002,Ballot 16 - Type 16,Early,066,JORGE SANCHEZ,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_516242,106,Ballot 16 - Type 16,Early,106,BEV COURTNEY,MIKE A TELLEZ,JESUSITA DOLORES LUCERO,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_087054,116,Ballot 16 - Type 16,Early,116,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_680127,047,Ballot 20 - Type 20,Early,047,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_728665,117.001,Ballot 16 - Type 16,Early,117,MIKE A TELLEZ,BEV COURTNEY,JESUSITA DOLORES LUCERO,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_779934,059,Ballot 16 - Type 16,Early,059,JESUSITA DOLORES LUCERO,EUGENIA (GINA) MONTOYA ORTEGA,GREGORY Z SMITH,JORGE SANCHEZ,BEV COURTNEY,MIKE A TELLEZ,ALEXANDER PAIGE FRESQUEZ,WILLIAM BILL MATTIACE,KEN MIYAGISHIMA,ISABELLA SOLIS
01662_00000_549033,062,Ballot 17 - Type 17,Early,062,BEV COURTNEY,MIKE A TELLEZ,JESUSITA DOLORES LUCERO,WILLIAM BILL MATTIACE,ISABELLA SOLIS,EUGENIA (GINA) MONTOYA ORTEGA,JORGE SANCHEZ,GREGORY Z SMITH,ALEXANDER PAIGE FRESQUEZ,KEN MIYAGISHIMA
01662_00000_695631,067,Ballot 16 - Type 16,Early,067,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_895108,112,Ballot 16 - Type 16,Early,112,EUGENIA (GINA) MONTOYA ORTEGA,JESUSITA DOLORES LUCERO,MIKE A TELLEZ,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_248968,112,Ballot 16 - Type 16,Early,112,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_074085,083.002,Ballot 20 - Type 20,Early,083,EUGENIA (GINA) MONTOYA ORTEGA,MIKE A TELLEZ,WILLIAM BILL MATTIACE,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_111428,022.002,Ballot 19 - Type 19,Early,022,KEN MIYAGISHIMA,MIKE A TELLEZ,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_401981,062,Ballot 17 - Type 17,Early,062,KEN MIYAGISHIMA,GREGORY Z SMITH,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_687098,116,Ballot 16 - Type 16,Early,116,GREGORY Z SMITH,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_155468,102,Ballot 16 - Type 16,Early,102,MIKE A TELLEZ,BEV COURTNEY,JESUSITA DOLORES LUCERO,WILLIAM BILL MATTIACE,ISABELLA SOLIS,EUGENIA (GINA) MONTOYA ORTEGA,JORGE SANCHEZ,ALEXANDER PAIGE FRESQUEZ,GREGORY Z SMITH,KEN MIYAGISHIMA
01662_00000_053186,109.002,Ballot 17 - Type 17,Early,109,WILLIAM BILL MATTIACE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_806282,102,Ballot 16 - Type 16,Early,102,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_662522,102,Ballot 16 - Type 16,Early,102,KEN MIYAGISHIMA,GREGORY Z SMITH,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_243254,116,Ballot 16 - Type 16,Early,116,KEN MIYAGISHIMA,GREGORY Z SMITH,MIKE A TELLEZ,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_517392,102,Ballot 16 - Type 16,Early,102,EUGENIA (GINA) MONTOYA ORTEGA,ISABELLA SOLIS,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_490702,109.002,Ballot 17 - Type 17,Early,109,KEN MIYAGISHIMA,GREGORY Z SMITH,JESUSITA DOLORES LUCERO,ALEXANDER PAIGE FRESQUEZ,WILLIAM BILL MATTIACE,EUGENIA (GINA) MONTOYA ORTEGA,BEV COURTNEY,JORGE SANCHEZ,MIKE A TELLEZ,ISABELLA SOLIS
01662_00000_075179,112,Ballot 16 - Type 16,Early,112,KEN MIYAGISHIMA,GREGORY Z SMITH,WILLIAM BILL MATTIACE,BEV COURTNEY,EUGENIA (GINA) MONTOYA ORTEGA,JORGE SANCHEZ,MIKE A TELLEZ,JESUSITA DOLORES LUCERO,ALEXANDER PAIGE FRESQUEZ,ISABELLA SOLIS
01662_00000_427080,102,Ballot 16 - Type 16,Early,102,KEN MIYAGISHIMA,WILLIAM BILL MATTIACE,GREGORY Z SMITH,JESUSITA DOLORES LUCERO,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_925150,102,Ballot 16 - Type 16,Early,102,KEN MIYAGISHIMA,ISABELLA SOLIS,MIKE A TELLEZ,WILLIAM BILL MATTIACE,EUGENIA (GINA) MONTOYA ORTEGA,skipped,skipped,skipped,skipped,skipped
01662_00000_056770,112,Ballot 16 - Type 16,Early,112,WILLIAM BILL MATTIACE,ISABELLA SOLIS,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_181336,109.002,Ballot 17 - Type 17,Early,109,WILLIAM BILL MATTIACE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_751491,112,Ballot 16 - Type 16,Early,112,ISABELLA SOLIS,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_362210,106,Ballot 16 - Type 16,Early,106,GREGORY Z SMITH,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_382026,106,Ballot 16 - Type 16,Early,106,WILLIAM BILL MATTIACE,JESUSITA DOLORES LUCERO,BEV COURTNEY,MIKE A TELLEZ,ISABELLA SOLIS,EUGENIA (GINA) MONTOYA ORTEGA,skipped,skipped,skipped,skipped
01662_00000_173540,102,Ballot 16 - Type 16,Early,102,WILLIAM BILL MATTIACE,BEV COURTNEY,MIKE A TELLEZ,ALEXANDER PAIGE FRESQUEZ,ISABELLA SOLIS,JESUSITA DOLORES LUCERO,KEN MIYAGISHIMA,GREGORY Z SMITH,JORGE SANCHEZ,EUGENIA (GINA) MONTOYA ORTEGA
01662_00000_440051,109.002,Ballot 17 - Type 17,Early,109,WILLIAM BILL MATTIACE,EUGENIA (GINA) MONTOYA ORTEGA,ALEXANDER PAIGE FRESQUEZ,GREGORY Z SMITH,JESUSITA DOLORES LUCERO,JORGE SANCHEZ,KEN MIYAGISHIMA,ISABELLA SOLIS,BEV COURTNEY,MIKE A TELLEZ
01662_00000_856833,109.002,Ballot 17 - Type 17,Early,109,EUGENIA (GINA) MONTOYA ORTEGA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_533155,112,Ballot 16 - Type 16,Early,112,KEN MIYAGISHIMA,WILLIAM BILL MATTIACE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_004810,112,Ballot 16 - Type 16,Early,112,GREGORY Z SMITH,BEV COURTNEY,WILLIAM BILL MATTIACE,EUGENIA (GINA) MONTOYA ORTEGA,MIKE A TELLEZ,ISABELLA SOLIS,ALEXANDER PAIGE FRESQUEZ,JESUSITA DOLORES LUCERO,JORGE SANCHEZ,KEN MIYAGISHIMA
01662_00000_142150,113.001,Ballot 20 - Type 20,Early,113,KEN MIYAGISHIMA,GREGORY Z SMITH,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_001434,106,Ballot 16 - Type 16,Early,106,KEN MIYAGISHIMA,MIKE A TELLEZ,GREGORY Z SMITH,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_663838,116,Ballot 16 - Type 16,Early,116,GREGORY Z SMITH,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_066175,083.002,Ballot 20 - Type 20,Early,083,MIKE A TELLEZ,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_498981,062,Ballot 17 - Type 17,Early,062,KEN MIYAGISHIMA,WILLIAM BILL MATTIACE,ALEXANDER PAIGE FRESQUEZ,EUGENIA (GINA) MONTOYA ORTEGA,MIKE A TELLEZ,JORGE SANCHEZ,ISABELLA SOLIS,MIKE A TELLEZ,GREGORY Z SMITH,BEV COURTNEY
01662_00000_935205,062,Ballot 17 - Type 17,Early,062,WILLIAM BILL MATTIACE,JESUSITA DOLORES LUCERO,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_416103,118,Ballot 16 - Type 16,Early,118,KEN MIYAGISHIMA,ISABELLA SOLIS,WILLIAM BILL MATTIACE,EUGENIA (GINA) MONTOYA ORTEGA,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_435960,106,Ballot 16 - Type 16,Early,106,GREGORY Z SMITH,KEN MIYAGISHIMA,JESUSITA DOLORES LUCERO,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_863657,106,Ballot 16 - Type 16,Early,106,KEN MIYAGISHIMA,EUGENIA (GINA) MONTOYA ORTEGA,ALEXANDER PAIGE FRESQUEZ,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_551218,083.002,Ballot 20 - Type 20,Early,083,KEN MIYAGISHIMA,GREGORY Z SMITH,ISABELLA SOLIS,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_071463,118,Ballot 16 - Type 16,Early,118,MIKE A TELLEZ,BEV COURTNEY,JESUSITA DOLORES LUCERO,JORGE SANCHEZ,ISABELLA SOLIS,WILLIAM BILL MATTIACE,EUGENIA (GINA) MONTOYA ORTEGA,ALEXANDER PAIGE FRESQUEZ,GREGORY Z SMITH,KEN MIYAGISHIMA
01662_00000_283192,116,Ballot 16 - Type 16,Early,116,KEN MIYAGISHIMA,BEV COURTNEY,EUGENIA (GINA) MONTOYA ORTEGA,MIKE A TELLEZ,ISABELLA SOLIS,JESUSITA DOLORES LUCERO,WILLIAM BILL MATTIACE,ALEXANDER PAIGE FRESQUEZ,JESUSITA DOLORES LUCERO,GREGORY Z SMITH
01662_00000_209393,066.002,Ballot 16 - Type 16,Early,066,KEN MIYAGISHIMA,ALEXANDER PAIGE FRESQUEZ,MIKE A TELLEZ,EUGENIA (GINA) MONTOYA ORTEGA,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_459329,102,Ballot 16 - Type 16,Early,102,KEN MIYAGISHIMA,GREGORY Z SMITH,ISABELLA SOLIS,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_107888,106,Ballot 16 - Type 16,Early,106,GREGORY Z SMITH,WILLIAM BILL MATTIACE,KEN MIYAGISHIMA,BEV COURTNEY,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_929603,105.002,Ballot 17 - Type 17,Early,105,MIKE A TELLEZ,WILLIAM BILL MATTIACE,BEV COURTNEY,JESUSITA DOLORES LUCERO,ALEXANDER PAIGE FRESQUEZ,ISABELLA SOLIS,GREGORY Z SMITH,JORGE SANCHEZ,KEN MIYAGISHIMA,EUGENIA (GINA) MONTOYA ORTEGA
01662_00000_436379,113.001,Ballot 20 - Type 20,Early,113,ISABELLA SOLIS,EUGENIA (GINA) MONTOYA ORTEGA,JORGE SANCHEZ,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_446737,106,Ballot 16 - Type 16,Early,106,GREGORY Z SMITH,WILLIAM BILL MATTIACE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_755991,066.002,Ballot 16 - Type 16,Early,066,KEN MIYAGISHIMA,JESUSITA DOLORES LUCERO,GREGORY Z SMITH,ISABELLA SOLIS,MIKE A TELLEZ,skipped,skipped,JORGE SANCHEZ,BEV COURTNEY,EUGENIA (GINA) MONTOYA ORTEGA
01662_00000_915789,067,Ballot 16 - Type 16,Early,067,KEN MIYAGISHIMA,JESUSITA DOLORES LUCERO,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_197561,106,Ballot 16 - Type 16,Early,106,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_122072,102,Ballot 16 - Type 16,Early,102,GREGORY Z SMITH,JESUSITA DOLORES LUCERO,WILLIAM BILL MATTIACE,KEN MIYAGISHIMA,ISABELLA SOLIS,JORGE SANCHEZ,MIKE A TELLEZ,BEV COURTNEY,EUGENIA (GINA) MONTOYA ORTEGA,ALEXANDER PAIGE FRESQUEZ
01662_00000_627274,116,Ballot 16 - Type 16,Early,116,WILLIAM BILL MATTIACE,MIKE A TELLEZ,BEV COURTNEY,JESUSITA DOLORES LUCERO,ALEXANDER PAIGE FRESQUEZ,GREGORY Z SMITH,JORGE SANCHEZ,ISABELLA SOLIS,EUGENIA (GINA) MONTOYA ORTEGA,KEN MIYAGISHIMA
01662_00000_811494,102,Ballot 16 - Type 16,Early,102,KEN MIYAGISHIMA,WILLIAM BILL MATTIACE,ISABELLA SOLIS,GREGORY Z SMITH,JORGE SANCHEZ,MIKE A TELLEZ,EUGENIA (GINA) MONTOYA ORTEGA,ALEXANDER PAIGE FRESQUEZ,JESUSITA DOLORES LUCERO,BEV COURTNEY
01662_00000_658597,116,Ballot 16 - Type 16,Early,116,GREGORY Z SMITH,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_241641,062,Ballot 17 - Type 17,Early,062,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_463061,062,Ballot 17 - Type 17,Early,062,ISABELLA SOLIS,MIKE A TELLEZ,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_185097,059,Ballot 16 - Type 16,Early,059,JESUSITA DOLORES LUCERO,ISABELLA SOLIS,WILLIAM BILL MATTIACE,BEV COURTNEY,MIKE A TELLEZ,skipped,skipped,skipped,skipped,skipped
01662_00000_139540,112,Ballot 16 - Type 16,Early,112,KEN MIYAGISHIMA,JESUSITA DOLORES LUCERO,MIKE A TELLEZ,ISABELLA SOLIS,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_567043,061,Ballot 16 - Type 16,Early,061,KEN MIYAGISHIMA,JORGE SANCHEZ,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_118768,112,Ballot 16 - Type 16,Early,112,GREGORY Z SMITH,MIKE A TELLEZ,JESUSITA DOLORES LUCERO,KEN MIYAGISHIMA,ALEXANDER PAIGE FRESQUEZ,WILLIAM BILL MATTIACE,BEV COURTNEY,ISABELLA SOLIS,JORGE SANCHEZ,EUGENIA (GINA) MONTOYA ORTEGA
01662_00000_384794,106,Ballot 16 - Type 16,Early,106,MIKE A TELLEZ,EUGENIA (GINA) MONTOYA ORTEGA,BEV COURTNEY,ISABELLA SOLIS,JESUSITA DOLORES LUCERO,WILLIAM BILL MATTIACE,JORGE SANCHEZ,ALEXANDER PAIGE FRESQUEZ,GREGORY Z SMITH,KEN MIYAGISHIMA
01662_00000_240725,106,Ballot 16 - Type 16,Early,106,KEN MIYAGISHIMA,WILLIAM BILL MATTIACE,MIKE A TELLEZ,GREGORY Z SMITH,EUGENIA (GINA) MONTOYA ORTEGA,BEV COURTNEY,JORGE SANCHEZ,ALEXANDER PAIGE FRESQUEZ,JESUSITA DOLORES LUCERO,ISABELLA SOLIS
01662_00000_529186,112,Ballot 16 - Type 16,Early,112,KEN MIYAGISHIMA,GREGORY Z SMITH,EUGENIA (GINA) MONTOYA ORTEGA,ISABELLA SOLIS,WILLIAM BILL MATTIACE,JESUSITA DOLORES LUCERO,ALEXANDER PAIGE FRESQUEZ,MIKE A TELLEZ,BEV COURTNEY,JORGE SANCHEZ
01662_00000_788317,116,Ballot 16 - Type 16,Early,116,KEN MIYAGISHIMA,MIKE A TELLEZ,WILLIAM BILL MATTIACE,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_723851,029,Ballot 2 - Type 2,Early,029,JESUSITA DOLORES LUCERO,WILLIAM BILL MATTIACE,KEN MIYAGISHIMA,EUGENIA (GINA) MONTOYA ORTEGA,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_581944,105.002,Ballot 17 - Type 17,Early,105,GREGORY Z SMITH,WILLIAM BILL MATTIACE,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,BEV COURTNEY
01662_00000_607745,116,Ballot 16 - Type 16,Early,116,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_523470,061,Ballot 16 - Type 16,Early,061,KEN MIYAGISHIMA,GREGORY Z SMITH,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_016986,059,Ballot 16 - Type 16,Early,059,EUGENIA (GINA) MONTOYA ORTEGA,skipped,skipped,skipped,EUGENIA (GINA) MONTOYA ORTEGA,skipped,skipped,skipped,skipped,skipped
01662_00000_443298,059,Ballot 16 - Type 16,Early,059,KEN MIYAGISHIMA,EUGENIA (GINA) MONTOYA ORTEGA,JESUSITA DOLORES LUCERO,ISABELLA SOLIS,JORGE SANCHEZ,MIKE A TELLEZ,BEV COURTNEY,GREGORY Z SMITH,ALEXANDER PAIGE FRESQUEZ,WILLIAM BILL MATTIACE
01662_00000_415817,106,Ballot 16 - Type 16,Early,106,MIKE A TELLEZ,skipped,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_274522,042,Ballot 20 - Type 20,Early,042,EUGENIA (GINA) MONTOYA ORTEGA,ALEXANDER PAIGE FRESQUEZ,WILLIAM BILL MATTIACE,KEN MIYAGISHIMA,EUGENIA (GINA) MONTOYA ORTEGA,EUGENIA (GINA) MONTOYA ORTEGA,EUGENIA (GINA) MONTOYA ORTEGA,EUGENIA (GINA) MONTOYA ORTEGA,EUGENIA (GINA) MONTOYA ORTEGA,EUGENIA (GINA) MONTOYA ORTEGA
01662_00000_264631,062,Ballot 17 - Type 17,Early,062,MIKE A TELLEZ,JESUSITA DOLORES LUCERO,JORGE SANCHEZ,ALEXANDER PAIGE FRESQUEZ,ISABELLA SOLIS,WILLIAM BILL MATTIACE,EUGENIA (GINA) MONTOYA ORTEGA,GREGORY Z SMITH,KEN MIYAGISHIMA,BEV COURTNEY
01662_00000_991807,117.001,Ballot 16 - Type 16,Early,117,MIKE A TELLEZ,KEN MIYAGISHIMA,JESUSITA DOLORES LUCERO,JORGE SANCHEZ,GREGORY Z SMITH,EUGENIA (GINA) MONTOYA ORTEGA,ALEXANDER PAIGE FRESQUEZ,ISABELLA SOLIS,BEV COURTNEY,WILLIAM BILL MATTIACE
01662_00000_006043,112,Ballot 16 - Type 16,Early,112,WILLIAM BILL MATTIACE,MIKE A TELLEZ,JESUSITA DOLORES LUCERO,BEV COURTNEY,KEN MIYAGISHIMA,EUGENIA (GINA) MONTOYA ORTEGA,ISABELLA SOLIS,skipped,skipped,skipped
01662_00000_030196,062,Ballot 17 - Type 17,Early,062,GREGORY Z SMITH,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,BEV COURTNEY
01662_00000_654836,112,Ballot 16 - Type 16,Early,112,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_506420,062,Ballot 17 - Type 17,Early,062,WILLIAM BILL MATTIACE,JESUSITA DOLORES LUCERO,KEN MIYAGISHIMA,ISABELLA SOLIS,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_101022,106,Ballot 16 - Type 16,Early,106,KEN MIYAGISHIMA,WILLIAM BILL MATTIACE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_903359,067,Ballot 16 - Type 16,Early,067,WILLIAM BILL MATTIACE,ISABELLA SOLIS,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_701514,102,Ballot 16 - Type 16,Early,102,EUGENIA (GINA) MONTOYA ORTEGA,MIKE A TELLEZ,BEV COURTNEY,ISABELLA SOLIS,ALEXANDER PAIGE FRESQUEZ,JESUSITA DOLORES LUCERO,WILLIAM BILL MATTIACE,skipped,skipped,skipped
01662_00000_011639,059,Ballot 16 - Type 16,Early,059,KEN MIYAGISHIMA,skipped,GREGORY Z SMITH,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_373364,106,Ballot 16 - Type 16,Early,106,MIKE A TELLEZ,BEV COURTNEY,JESUSITA DOLORES LUCERO,WILLIAM BILL MATTIACE,ISABELLA SOLIS,EUGENIA (GINA) MONTOYA ORTEGA,JORGE SANCHEZ,ALEXANDER PAIGE FRESQUEZ,GREGORY Z SMITH,KEN MIYAGISHIMA
01662_00000_937447,062,Ballot 17 - Type 17,Early,062,MIKE A TELLEZ,BEV COURTNEY,JESUSITA DOLORES LUCERO,WILLIAM BILL MATTIACE,ISABELLA SOLIS,EUGENIA (GINA) MONTOYA ORTEGA,JORGE SANCHEZ,ALEXANDER PAIGE FRESQUEZ,GREGORY Z SMITH,KEN MIYAGISHIMA
01662_00000_202876,102,Ballot 16 - Type 16,Early,102,WILLIAM BILL MATTIACE,KEN MIYAGISHIMA,ALEXANDER PAIGE FRESQUEZ,MIKE A TELLEZ,GREGORY Z SMITH,ISABELLA SOLIS,JORGE SANCHEZ,EUGENIA (GINA) MONTOYA ORTEGA,JESUSITA DOLORES LUCERO,BEV COURTNEY
01662_00000_597257,102,Ballot 16 - Type 16,Early,102,GREGORY Z SMITH,WILLIAM BILL MATTIACE,MIKE A TELLEZ,ISABELLA SOLIS,KEN MIYAGISHIMA,JESUSITA DOLORES LUCERO,EUGENIA (GINA) MONTOYA ORTEGA,skipped,skipped,skipped
01662_00000_484842,067,Ballot 16 - Type 16,Early,067,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_100977,116,Ballot 16 - Type 16,Early,116,WILLIAM BILL MATTIACE,BEV COURTNEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,KEN MIYAGISHIMA
01662_00000_393538,102,Ballot 16 - Type 16,Early,102,WILLIAM BILL MATTIACE,GREGORY Z SMITH,ALEXANDER PAIGE FRESQUEZ,skipped,skipped,skipped,skipped,skipped,skipped,skipped
01662_00000_152141,106,Ballot 16 - Type 16,Early,106,KEN MIYAGISHIMA,WILLIAM BILL MATTIACE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
